case_T_hot,node,r,z,u_r,u_z,u_swirl,pressure,T
1765.0,3424,0.02527859915,0.1017967511,0.0008641687473,-0.001898319712,-0.01432919698,-0.436746852,1717.504365
1765.0,3425,0.1450138635,0.1018527015,0.003580959128,8.938139129e-05,0.0796660433,-3.429149623,1690.504823
1765.0,3426,0.06963524638,0.1019101797,-0.00468312733,-0.003782755801,0.0170560529,-0.2339182902,1712.294652
1765.0,3427,0.1456819985,0.101944059,0.003197992517,6.900501642e-05,0.08049353596,-3.487726399,1689.769309
1765.0,3428,0.109085956,0.1019677405,0.001239086243,-0.0001215075477,0.04613794093,-1.304182189,1708.198141
1765.0,3429,0.1463053141,0.102029288,0.00281520906,5.193047088e-05,0.08126926847,-3.543342631,1689.081319
1765.0,3430,0.02745390016,0.1020686211,0.0006667028514,-0.002136342778,-0.01285815887,-0.4274952172,1717.349196
1765.0,3431,0.1468868169,0.1021087998,0.002435243654,3.785893113e-05,0.08199596155,-3.59604144,1688.438545
1765.0,3432,0.1474293118,0.1021829779,0.002060327647,2.650024295e-05,0.08267628381,-3.645886858,1687.83854
1765.0,3433,0.1479354154,0.10225218,0.001692325238,1.756418139e-05,0.08331283571,-3.692986131,1687.278805
1765.0,3434,0.148407569,0.1023167399,0.001332769412,1.078950685e-05,0.08390813696,-3.737322504,1686.75686
1765.0,3435,0.0297856156,0.1023600398,0.000424558311,-0.002389446849,-0.01127302865,-0.4156178151,1717.20973
1765.0,3436,0.1488480499,0.1023769691,0.0009828972749,5.906697454e-06,0.08446461685,-3.778965152,1686.270283
1765.0,3437,0.1121641805,0.1023828001,0.002137789816,6.039737405e-05,0.04875433215,-1.416059358,1708.079541
1765.0,3438,0.1492589828,0.102433158,0.0006436827911,2.856748693e-06,0.0849846073,-3.817901091,1685.816747
1765.0,3439,0.1496423498,0.1024855777,0.0003158686234,6.87197397e-07,0.0854703382,-3.857796648,1685.394033
1765.0,3440,0.15,0.102534481,0.0,0.0,0.08592389508,-3.878097879,1685.0
1765.0,3441,0.075,0.10261273,-0.004785151991,-0.003568763066,0.02104309177,-0.261695156,1711.242503
1765.0,3442,0.0322849924,0.1026724129,0.0001342732503,-0.002655409185,-0.009563779974,-0.4006221938,1717.084344
1765.0,3443,0.1150359138,0.1027700169,0.002972497652,0.0002025322797,0.0512665625,-1.524453924,1707.874965
1765.0,3444,0.03496408621,0.1030072471,-0.0002068636389,-0.002930926762,-0.007719256922,-0.3819145975,1716.96801
1765.0,3445,0.1177150076,0.1031312588,0.003727675422,0.0003086713929,0.05368044859,-1.62964771,1707.558594
1765.0,3446,0.08036475362,0.1033152803,-0.004638222084,-0.003261772902,0.02509659831,-0.3144451537,1710.208189
